Maketu - Pongakawa,Motiti - Pongakawa,Otawa - Pongakawa,Pongakawa - Pongakawa,Pongakawa - Mount Maunganui North,Pongakawa - Palm Beach South-Gravatt,Pongakawa - Tauranga Hospital,Pongakawa - Tauranga Central,Pongakawa - Otawa,Pongakawa - Rangiuru,Pongakawa - Baypark-Kairua,Pongakawa - Mount Maunganui Central,Pongakawa - Wairakei,Pongakawa - Maketu,Pongakawa - Te Puke East,Pongakawa - Te Puke West,Pukehina Beach - Pongakawa,Rangiuru - Pongakawa,Te Puke East - Pongakawa,Te Puke West - Pongakawa,Wairakei - Pongakawa
"[[-37.7621916, 176.4547708], [-37.8238169, 176.4730639]]","[[-37.7221721, 176.351207], [-37.8840265, 176.5188666]]","[[-37.7230736, 176.2844217], [-37.8216108, 176.4155869]]","[[-37.8184274, 176.412028], [-37.9889056, 176.5037108]]","[[-37.96837, 176.4564748], [-37.6447408, 176.189496]]","[[-37.8157909, 176.5138564], [-37.6930456, 176.2744649]]","[[-37.8254786, 176.4121509], [-37.6976842, 176.1511058]]","[[-37.8853328, 176.549601], [-37.6801282, 176.1665156]]","[[-37.8673567, 176.5258971], [-37.7226105, 176.2845175]]","[[-37.8811169, 176.5759027], [-37.8263149, 176.3306745]]","[[-37.96837, 176.4564748], [-37.6892644, 176.2392617]]","[[-37.8238169, 176.4730639], [-37.6655962, 176.1941039]]","[[-37.8771966, 176.529182], [-37.7264327, 176.3401035]]","[[-37.8673567, 176.5258971], [-37.7587452, 176.4654563]]","[[-37.7961231, 176.4816284], [-37.8026773, 176.3152899]]","[[-37.8505544, 176.507039], [-37.7750927, 176.3078116]]","[[-37.7604704, 176.4839534], [-37.8368006, 176.4752142]]","[[-37.8052012, 176.3511064], [-37.8771966, 176.529182]]","[[-37.7840503, 176.3265468], [-37.9421527, 176.4155608]]","[[-37.7785619, 176.3144968], [-37.8220161, 176.586015]]","[[-37.7161292, 176.3182965], [-37.838803, 176.3821097]]"
"[[-37.7616356, 176.4495696], [-37.9464163, 176.5088435]]","[[-37.721009, 176.3459829], [-37.82484, 176.4106721]]","[[-37.7639441, 176.2342308], [-37.8239502, 176.4750853]]","[[-37.8224233, 176.4114091], [-37.8127294, 176.4082365]]","[[-37.82484, 176.4106721], [-37.6397742, 176.1838324]]","[[-37.9617927, 176.4355576], [-37.7062724, 176.2835388]]","[[-37.8127294, 176.4082365], [-37.7070596, 176.140563]]","[[-37.8248507, 176.4137746], [-37.6834472, 176.166097]]","[[-37.9464163, 176.5088435], [-37.7336891, 176.2983989]]","[[-37.9404661, 176.491225], [-37.8695545, 176.3042878]]","[[-37.8132593, 176.4843243], [-37.6898317, 176.2390009]]","[[-37.8248478, 176.4127553], [-37.6657456, 176.2030374]]","[[-37.8811169, 176.5759027], [-37.7190159, 176.3177058]]","[[-37.8659566, 176.3871999], [-37.7596276, 176.4634732]]","[[-37.8241838, 176.4144632], [-37.7834429, 176.3247326]]","[[-37.813473, 176.4553636], [-37.7758499, 176.3089544]]","[[-37.7854305, 176.5206737], [-37.8154737, 176.4135884]]","[[-37.822982, 176.3423816], [-37.8160768, 176.5134544]]","[[-37.795475, 176.3214756], [-37.8062775, 176.5160445]]","[[-37.7785619, 176.3144968], [-37.82484, 176.4106721]]","[[-37.7223323, 176.3326143], [-37.7878143, 176.4803021]]"
"[[-37.754579, 176.4569924], [-37.8157909, 176.5138564]]","[[-37.7175197, 176.3427417], [-37.8160768, 176.5134544]]","[[-37.7166613, 176.284072], [-38.0127858, 176.5496367]]","[[-37.8132593, 176.4843243], [-37.8229848, 176.4855823]]","[[-37.8181788, 176.4127408], [-37.6363287, 176.1813035]]","[[-37.7961231, 176.4816284], [-37.6971239, 176.2773694]]","[[-37.8673567, 176.5258971], [-37.6968134, 176.1553574]]","[[-37.8120571, 176.5676919], [-37.6814693, 176.1699081]]","[[-37.8248478, 176.4127553], [-37.7623243, 176.230403]]","[[-37.8127294, 176.4082365], [-37.8132857, 176.4141899]]","[[-37.8180815, 176.4121985], [-37.6763594, 176.2225956]]","[[-37.8224233, 176.4114091], [-37.6424413, 176.1860798]]","[[-37.8371346, 176.4734481], [-37.7266026, 176.3399816]]","[[-37.8254786, 176.4121509], [-37.7726144, 176.45694]]","[[-37.8172858, 176.5662386], [-37.7837133, 176.3225363]]","[[-37.8992575, 176.5513958], [-37.7822742, 176.3113942]]","[[-37.7854305, 176.5206737], [-37.8172858, 176.5662386]]","[[-37.8358436, 176.3340307], [-37.8248478, 176.4127553]]","[[-37.785223, 176.3292161], [-37.8676569, 176.5209933]]","[[-37.780821, 176.3166409], [-37.8276938, 176.4088519]]","[[-37.7213452, 176.3175145], [-37.8345821, 176.6082463]]"
"[[-37.7615814, 176.4763243], [-37.8227685, 176.4773101]]","[[-37.7159011, 176.3345988], [-37.822116, 176.4751053]]","[[-37.7226105, 176.2845175], [-37.8184274, 176.412028]]","[[-37.8355081, 176.6004718], [-37.7908073, 176.5289654]]","[[-37.8241838, 176.4144632], [-37.6473437, 176.190756]]","[[-37.8214859, 176.5650754], [-37.6966741, 176.2730801]]","[[-37.8162158, 176.562853], [-37.6996074, 176.1421858]]","[[-37.8458518, 176.4531546], [-37.6997173, 176.16218]]","[[-37.8180815, 176.4121985], [-37.7609537, 176.2351522]]","[[-37.8462459, 176.4550288], [-37.8006354, 176.3989094]]","[[-37.8248478, 176.4127553], [-37.6794927, 176.2224617]]","[[-37.8214852, 176.565141], [-37.6693507, 176.2127289]]","[[-37.8611798, 176.5684664], [-37.7274949, 176.3341562]]","[[-37.8181795, 176.4121079], [-37.7584081, 176.4581437]]","[[-37.9889056, 176.5037108], [-37.7835714, 176.3270707]]","[[-37.832355, 176.5897022], [-37.7852564, 176.3132273]]","[[-37.7604704, 176.4839534], [-37.8673567, 176.5258971]]","[[-37.8134409, 176.3753488], [-37.8509852, 176.422804]]","[[-37.7889721, 176.3263393], [-37.839119, 176.5592824]]","[[-37.7753453, 176.2952245], [-37.8424402, 176.5331189]]","[[-37.7146744, 176.3118453], [-37.9537859, 176.3743359]]"
"[[-37.7608597, 176.4636709], [-37.8043712, 176.5538939]]","[[-37.7139333, 176.3330544], [-37.8248507, 176.4137746]]","[[-37.7169471, 176.3072553], [-37.8659566, 176.3871999]]","[[-37.8497381, 176.4271326], [-37.82294, 176.4856864]]","[[-37.8170225, 176.4627897], [-37.6490943, 176.1919374]]","[[-37.8552956, 176.5085268], [-37.6965879, 176.2703117]]","[[-37.8505544, 176.507039], [-37.6978119, 176.151244]]","[[-37.9421527, 176.4155608], [-37.6981455, 176.1587295]]","[[-37.8605471, 176.5485573], [-37.7753453, 176.2952245]]","[[-37.8462459, 176.4550288], [-37.8171003, 176.4191642]]","[[-37.8214859, 176.5650754], [-37.7145109, 176.2809646]]","[[-37.8771966, 176.529182], [-37.654593, 176.1969913]]","[[-37.8238169, 176.4730639], [-37.7249247, 176.3254724]]","[[-37.9520258, 176.446104], [-37.7597222, 176.463315]]","[[-37.8181443, 176.4152129], [-37.7915616, 176.3169835]]","[[-37.807256, 176.4369396], [-37.7852564, 176.3132273]]","[[-37.7858677, 176.5202113], [-37.940655, 176.5136743]]","[[-37.7777922, 176.3718026], [-37.8505544, 176.507039]]","[[-37.7843144, 176.3265459], [-37.8215941, 176.5490969]]","[[-37.7810871, 176.3104482], [-37.8385775, 176.3989236]]","[[-37.721536, 176.3172218], [-37.9249421, 176.608566]]"
"[[-37.7605074, 176.465456], [-37.8031129, 176.4922342]]","[[-37.7242698, 176.3524774], [-37.9494975, 176.5395485]]","[[-37.7755358, 176.3013967], [-37.8158911, 176.5180588]]","[[-37.8840265, 176.5188666], [-37.9034589, 176.4162829]]","[[-37.8213214, 176.5811625], [-37.6356117, 176.1823442]]","[[-37.8611798, 176.5684664], [-37.70044, 176.2847981]]","[[-37.9464163, 176.5088435], [-37.7080683, 176.1457219]]","[[-37.8625557, 176.5841128], [-37.683148, 176.1633785]]","[[-37.8992575, 176.5513958], [-37.7409517, 176.2952845]]","[[-37.8215941, 176.5490969], [-37.8075697, 176.3647651]]","[[-37.832355, 176.5897022], [-37.6767724, 176.2214631]]","[[-37.8204305, 176.4775971], [-37.6550025, 176.1903379]]","[[-37.8181788, 176.4127408], [-37.7198049, 176.3284875]]","[[-37.7874085, 176.4942984], [-37.7605058, 176.4737669]]","[[-37.813473, 176.4553636], [-37.7907716, 176.3187002]]","[[-37.7908073, 176.5289654], [-37.7813671, 176.3175356]]","[[-37.7974965, 176.5242916], [-37.82294, 176.4856864]]","[[-37.7642128, 176.372556], [-37.9537859, 176.3743359]]","[[-37.7893068, 176.3288984], [-37.8132593, 176.4843243]]","[[-37.7841344, 176.3169917], [-37.9520258, 176.446104]]","[[-37.7243761, 176.3429682], [-37.8458518, 176.4531546]]"
"[[-37.7612167, 176.4523414], [-37.9520258, 176.446104]]","[[-37.7175052, 176.3427859], [-37.796122, 176.4812288]]","[[-37.7739969, 176.2378064], [-37.8470681, 176.4935989]]","[[-37.8371346, 176.4734481], [-37.8676569, 176.5209933]]","[[-37.8271759, 176.4369245], [-37.6472792, 176.1906758]]",,"[[-37.8368006, 176.4752142], [-37.6985457, 176.1485319]]","[[-37.9034589, 176.4162829], [-37.6778035, 176.1672128]]","[[-37.8497381, 176.4271326], [-37.7796301, 176.2941843]]","[[-37.8509852, 176.422804], [-37.8132857, 176.4141899]]",,"[[-37.8454164, 176.4842073], [-37.6550001, 176.1940089]]",,"[[-37.8829707, 176.4200773], [-37.7596276, 176.4634732]]","[[-37.8829707, 176.4200773], [-37.7893915, 176.328873]]","[[-37.8162627, 176.4143692], [-37.7858345, 176.3135415]]","[[-37.7854305, 176.5206737], [-37.8771966, 176.529182]]","[[-37.7481057, 176.4158392], [-37.8241838, 176.4144632]]","[[-37.7792848, 176.3319777], [-37.8204305, 176.4775971]]","[[-37.7853139, 176.3122982], [-37.9889056, 176.5037108]]","[[-37.729022, 176.3466905], [-37.8277965, 176.3963839]]"
"[[-37.7595722, 176.4765121], [-37.9782795, 176.5651275]]","[[-37.721822, 176.3512579], [-37.8214852, 176.565141]]","[[-37.7227526, 176.285022], [-37.8611798, 176.5684664]]","[[-37.838803, 176.3821097], [-37.8062775, 176.5160445]]","[[-37.8460311, 176.5406863], [-37.6356276, 176.1825691]]",,"[[-37.8214852, 176.565141], [-37.6955414, 176.1549649]]","[[-37.7909565, 176.46572], [-37.6978983, 176.1581694]]","[[-37.8227685, 176.4773101], [-37.7407361, 176.2948981]]","[[-38.0012068, 176.5507815], [-37.8225107, 176.4030006]]",,"[[-37.82484, 176.4106721], [-37.6648567, 176.2080906]]",,"[[-37.9421527, 176.4155608], [-37.7595722, 176.4765121]]","[[-37.8241838, 176.4144632], [-37.7881562, 176.3152283]]","[[-37.7878143, 176.4803021], [-37.7810871, 176.3104482]]","[[-37.7854305, 176.5206737], [-37.8676569, 176.5209933]]","[[-37.7899849, 176.3929653], [-37.8853328, 176.549601]]","[[-37.7825703, 176.3228238], [-37.8771966, 176.529182]]","[[-37.7753453, 176.2952245], [-37.8381427, 176.4213539]]","[[-37.7194496, 176.3093635], [-37.822116, 176.4751053]]"
"[[-37.7584457, 176.4549994], [-37.8242675, 176.4135804]]","[[-37.7175052, 176.3427859], [-37.8220161, 176.586015]]","[[-37.7743423, 176.2325317], [-37.9404661, 176.491225]]","[[-37.8277965, 176.3963839], [-37.9916308, 176.5350308]]","[[-37.96837, 176.4564748], [-37.6450632, 176.1890214]]",,"[[-37.8062775, 176.5160445], [-37.7033276, 176.1525348]]","[[-37.839119, 176.5592824], [-37.6964228, 176.1593117]]","[[-37.8062775, 176.5160445], [-37.7598007, 176.2622871]]","[[-37.8181443, 176.4152129], [-37.8056904, 176.3426049]]",,"[[-37.8497381, 176.4271326], [-37.6565415, 176.2010447]]",,"[[-37.8505544, 176.507039], [-37.7587452, 176.4654563]]","[[-38.0137586, 176.5754648], [-37.7862881, 176.3246992]]","[[-37.8381427, 176.4213539], [-37.7840268, 176.3137456]]","[[-37.7858677, 176.5202113], [-37.8223922, 176.4117205]]","[[-37.8010313, 176.3991113], [-37.8127294, 176.4082365]]","[[-37.7813671, 176.3175356], [-37.8157909, 176.5138564]]","[[-37.7840183, 176.3124461], [-37.8271759, 176.4369245]]","[[-37.7280433, 176.3367175], [-37.8381427, 176.4213539]]"
"[[-37.7481511, 176.465681], [-37.7874085, 176.4942984]]",,"[[-37.7429137, 176.3614688], [-37.839119, 176.5592824]]","[[-37.8387543, 176.4736138], [-37.8181443, 176.4152129]]",,,"[[-37.940655, 176.5136743], [-37.7010646, 176.1392921]]","[[-37.8470681, 176.4935989], [-37.6815299, 176.1698005]]","[[-37.8254786, 176.4121509], [-37.7753453, 176.2952245]]","[[-37.8470681, 176.4935989], [-37.8111453, 176.4079802]]",,"[[-37.8180815, 176.4121985], [-37.668621, 176.2027892]]",,,"[[-38.0137586, 176.5754648], [-37.783922, 176.324605]]","[[-37.8239502, 176.4750853], [-37.7957763, 176.3071469]]","[[-37.7974965, 176.5242916], [-37.9404661, 176.491225]]","[[-37.7882542, 176.3704461], [-37.8248507, 176.4137746]]","[[-37.7905868, 176.334635], [-37.8181795, 176.4121079]]","[[-37.7844796, 176.308048], [-37.8214852, 176.565141]]",
"[[-37.7587452, 176.4654563], [-37.8170225, 176.4627897]]",,"[[-37.715213, 176.3075986], [-37.8238169, 176.4730639]]","[[-37.8182116, 176.5064839], [-37.839119, 176.5592824]]",,,"[[-37.8159717, 176.5140182], [-37.7064871, 176.1512923]]","[[-37.8552956, 176.5085268], [-37.6885606, 176.1691437]]","[[-37.8216085, 176.4117037], [-37.7407361, 176.2948981]]","[[-37.96837, 176.4564748], [-37.8131285, 176.3755596]]",,"[[-37.9520258, 176.446104], [-37.6549976, 176.1954859]]",,,"[[-37.8171003, 176.4191642], [-37.8020291, 176.3161679]]","[[-37.940655, 176.5136743], [-37.7802011, 176.3177158]]","[[-37.7604704, 176.4839534], [-37.8239502, 176.4750853]]","[[-37.8233892, 176.3828904], [-37.7908073, 176.5289654]]","[[-37.790236, 176.3302403], [-37.8659566, 176.3871999]]","[[-37.7747363, 176.3084996], [-37.796122, 176.4812288]]",
"[[-37.7506533, 176.4641848], [-37.9537859, 176.3743359]]",,"[[-37.7329631, 176.2982101], [-37.9520258, 176.446104]]","[[-37.8227685, 176.4773101], [-37.7874085, 176.4942984]]",,,"[[-37.82484, 176.4106721], [-37.7080683, 176.1457219]]","[[-37.8162627, 176.4143692], [-37.6930275, 176.1628221]]","[[-37.8238169, 176.4730639], [-37.7205699, 176.2704129]]","[[-37.8355081, 176.6004718], [-37.8233892, 176.3828904]]",,"[[-37.813473, 176.4553636], [-37.6491479, 176.1920874]]",,,"[[-37.8160768, 176.5134544], [-37.788615, 176.3265153]]","[[-37.8462459, 176.4550288], [-37.7758499, 176.3089544]]","[[-37.7858677, 176.5202113], [-37.8360845, 176.433971]]","[[-37.7899849, 176.3929653], [-37.8673567, 176.5258971]]","[[-37.7948366, 176.3214107], [-37.8811169, 176.5759027]]","[[-37.7916619, 176.3014843], [-37.9064248, 176.4339361]]",
"[[-37.75766, 176.4569964], [-37.8031129, 176.4922342]]",,,"[[-37.832355, 176.5897022], [-37.9404661, 176.491225]]",,,,"[[-37.8360845, 176.433971], [-37.6808053, 176.1699872]]","[[-37.9889056, 176.5037108], [-37.7578919, 176.2504156]]","[[-37.8387543, 176.4736138], [-37.7941173, 176.3930513]]",,"[[-37.8062775, 176.5160445], [-37.6562701, 176.1970621]]",,,"[[-37.8238169, 176.4730639], [-37.8034222, 176.3148406]]","[[-37.8225107, 176.4030006], [-37.7798846, 176.3087126]]","[[-37.7908073, 176.5289654], [-37.8248507, 176.4137746]]","[[-37.822982, 176.3423816], [-37.8171003, 176.4191642]]","[[-37.7840279, 176.314158], [-37.9249421, 176.608566]]","[[-37.7840268, 176.3137456], [-37.8625557, 176.5841128]]",
"[[-37.7596418, 176.4618192], [-37.8181788, 176.4127408]]",,,"[[-37.8223922, 176.4117205], [-37.8160768, 176.5134544]]",,,,"[[-37.7878143, 176.4803021], [-37.6843912, 176.1699732]]","[[-37.8458518, 176.4531546], [-37.7598007, 176.2622871]]","[[-37.8276938, 176.4088519], [-37.8466118, 176.3146044]]",,"[[-37.8242675, 176.4135804], [-37.6735092, 176.2190676]]",,,"[[-37.8345821, 176.6082463], [-37.787054, 176.3273448]]","[[-37.8158911, 176.5180588], [-37.7759352, 176.3090031]]","[[-37.7858677, 176.5202113], [-37.8229848, 176.4855823]]","[[-37.8082191, 176.3759584], [-37.8043712, 176.5538939]]","[[-37.7951713, 176.3275977], [-37.96837, 176.4564748]]","[[-37.7845509, 176.312177], [-37.8271759, 176.4369245]]",
"[[-37.7584457, 176.4549994], [-37.8216108, 176.4155869]]",,,"[[-37.8239502, 176.4750853], [-37.8214859, 176.5650754]]",,,,"[[-37.8225107, 176.4030006], [-37.6876728, 176.1644192]]","[[-37.8271759, 176.4369245], [-37.7626111, 176.2570989]]","[[-37.813473, 176.4553636], [-37.8165511, 176.3645276]]",,"[[-37.940655, 176.5136743], [-37.6673083, 176.2058408]]",,,"[[-37.8216104, 176.4144627], [-37.7993319, 176.3202801]]","[[-37.8345821, 176.6082463], [-37.7813671, 176.3175356]]","[[-37.7854305, 176.5206737], [-37.838803, 176.3821097]]","[[-37.8277237, 176.3476173], [-37.8853328, 176.549601]]","[[-37.7924878, 176.3149128], [-37.832355, 176.5897022]]","[[-37.7808447, 176.308621], [-37.8248507, 176.4137746]]",
"[[-37.7605047, 176.4630461], [-37.8220161, 176.586015]]",,,"[[-37.8172858, 176.5662386], [-37.8853328, 176.549601]]",,,,"[[-37.9916308, 176.5350308], [-37.6717511, 176.1718746]]","[[-37.940655, 176.5136743], [-37.7662271, 176.3139858]]","[[-37.8215542, 176.4114063], [-37.7985897, 176.3521773]]",,"[[-37.8872731, 176.5258894], [-37.6501734, 176.1870575]]",,,"[[-37.9404661, 176.491225], [-37.7921251, 176.3234894]]","[[-37.9537859, 176.3743359], [-37.7759352, 176.3090031]]","[[-37.7908073, 176.5289654], [-37.8181443, 176.4152129]]","[[-37.8010042, 176.3990521], [-37.8345821, 176.6082463]]","[[-37.8032049, 176.3154708], [-37.8241838, 176.4144632]]","[[-37.7798356, 176.314141], [-38.0012068, 176.5507815]]",
